Geneid	KEGG_ko
gene6807	K13298,K13762
gene8234	K08496
gene14165	K03097
gene8126	K15186
gene8127	K15178
gene9764	K00827
gene1292	K05181
gene1294	K02903
gene1295	K07520
gene65	K11160,K14457,K14458
gene66	K11160,K14457,K14458
gene67	K00486
gene68	K08471
gene76	K09228,K09229
gene79	K03246
gene82	K08202
gene83	K08202
gene84	K08202
gene1135	K17267
gene1137	K06672
gene1138	K13703
gene1139	K10408
gene1140	K11519,K13989
gene5614	K13753
gene4419	K08731
gene4420	K01106
gene4422	K01106
gene4423	K01106
gene6318	K09191,K12863
gene6319	K10887
gene6321	K06085,K10769
gene6322	K02911
gene2380	K08066
gene7953	K13105
gene7955	K04569
gene2151	K11253,K11275
gene2154	K04532
gene2155	K18584
gene2157	K14813
gene2159	K10686
gene2160	K19404
gene2161	K19404
gene7495	K09228,K09229
gene7496	K09228
gene7497	K11827
gene9234	K00814
gene6648	K01590,K01593,K22329
gene6649	K14525
gene5558	K04508
gene5559	K02942
gene5560	K10743
gene5561	K16571
gene10879	K08145
gene4000	K03353
gene4001	K03113,K12367,K17439
gene4002	K03113
gene4004	K15122
gene4005	K03113,K12367,K17439
gene4006	K03113,K12367,K17439
gene4007	K17492
gene10452	K00326
gene10453	K01077
gene6430	K22369
gene6433	K01376
gene2033	K18469
gene2034	K18469
gene2037	K07952
gene2039	K21989
gene2041	K07117,K11424,K11425,K15588
gene2042	K08334
gene9259	K10838
gene8346	K13126
gene8347	K08818
gene8348	K14816
gene8349	K20099
gene8350	K00940
gene8351	K01870,K02737,K08471,K10581,K19410
gene9397	K11687
gene13014	K21032
gene1740	K01363
gene1741	K01016
gene1742	K01363
gene1743	K01363
gene1744	K10251
gene1745	K10251
gene1748	K01363
gene1749	K01363
gene5104	K12733
gene5105	K20701
gene5107	K03959
gene9702	K03354
gene9706	K13139
gene9293	K05466,K05467,K09624
gene2078	K14209
gene2079	K12668
gene2080	K01304
gene2082	K20029
gene2083	K04705
gene2084	K15032
gene2085	K01518
gene2086	K12813
gene2088	K04487
gene14172	K12373
gene12015	K18849
gene5185	K05673
gene5187	K05673
gene8934	K12491,K17848
gene8935	K12491,K17848
gene10656	K22203
gene10657	K22203
gene10658	K22203
gene167	K00876
gene169	K19495
gene170	K16570
gene171	K12396
gene172	K01697
gene173	K01697
gene174	K00799
gene175	K17284
gene177	K02375,K02842,K04690
gene178	K12590
gene7895	K06255
gene5346	K07921,K07922,K08878
gene5347	K22001
gene5348	K22381
gene10499	K17907
gene4641	K01312,K09640
gene4643	K01312,K09640
gene4644	K01312,K09640
gene4645	K01869
gene4646	K01869
gene4647	K17080
gene4648	K01942
gene4649	K02915
gene4650	K08493
gene4651	K15202
gene4652	K12859
gene7092	K21358
gene7093	K15085
gene2974	K12874
gene2975	K04564
gene4636	K00699,K04628
gene331	K13154
gene332	K01757,K21407
gene333	K01757,K21407
gene334	K11791
gene335	K14618,K15146
gene338	K03254
gene340	K06094
gene341	K19613
gene342	K07297
gene347	K16772
gene348	K01373
gene350	K19683
gene351	K15441
gene352	K10800
gene10056	K00274,K14388
gene6275	K03065
gene6276	K02983,K15708
gene8905	K13348
